,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Answers
5229,303.9,313.1,1790,26.7,17,0,0,0,0,0,0,3
7868,300.4,311.9,1438,46.7,41,0,0,0,0,0,1,3
1274,298.1,309.5,1530,40.2,65,0,0,0,0,0,0,3
7491,300.4,311.8,1320,57.9,168,0,0,0,0,0,0,1
2522,298.8,308.7,1543,38.2,44,0,0,0,0,0,0,2
9639,299.3,310.4,1725,26.8,167,0,0,0,0,0,0,1
627,298.4,310.1,1455,42.2,94,0,0,0,0,0,0,1
5763,301.8,311.2,1451,39.4,70,0,0,0,0,0,0,3
233,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,1
8584,297.4,307.9,1390,47.7,156,0,0,0,0,0,0,1
3297,301.2,310.3,1548,38.6,59,0,0,0,0,0,0,1
5252,303.5,313.0,1322,59.5,71,0,0,0,0,0,0,1
6809,300.9,310.8,1490,38.1,125,0,0,0,0,0,0,1
5852,301.2,310.9,1798,22.3,59,0,0,0,0,0,0,3
3539,302.0,311.0,1686,32.5,25,0,0,0,0,0,0,1
9991,298.9,308.4,1827,26.1,5,0,0,0,0,0,0,2
7880,300.7,312.4,1457,47.2,74,0,0,0,0,0,0,3
4464,302.8,310.6,1671,30.5,201,0,0,0,0,0,0,1
4954,303.7,312.6,1702,29.1,141,0,0,0,0,0,0,1
5768,301.7,311.3,1421,45.9,85,0,0,0,0,0,0,1
552,297.4,309.3,1622,35.0,123,0,0,0,0,0,0,2
4130,301.9,310.4,1286,62.8,22,1,0,1,0,0,0,1
4404,302.4,310.2,1485,45.9,50,0,0,0,0,0,0,2
6578,301.4,310.4,1543,40.9,190,0,0,0,0,0,0,1
4349,301.9,309.7,1595,31.4,133,0,0,0,0,0,0,1
6990,300.7,311.1,2478,13.4,170,1,0,0,1,0,0,1
5092,303.9,313.2,1608,40.6,79,0,0,0,0,0,0,2
2662,299.9,309.4,1483,38.1,193,0,0,0,0,0,0,2
2746,299.7,309.2,1411,46.1,173,0,0,0,0,0,0,1
357,297.6,308.4,1517,34.2,66,0,0,0,0,0,0,1
1439,298.8,309.8,1534,37.0,47,0,0,0,0,0,0,2
4971,303.8,312.7,1838,27.8,181,0,0,0,0,0,0,1
2871,300.7,309.6,1536,37.2,19,0,0,0,0,0,0,2
762,296.7,307.8,1286,60.5,0,0,0,0,0,0,0,2
1963,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,1
5606,302.9,312.2,1729,23.6,96,0,0,0,0,0,0,1
7520,300.2,311.6,1529,35.5,21,0,0,0,0,0,0,1
7211,299.8,309.7,1431,40.3,101,0,0,0,0,0,0,1
2988,300.6,309.8,1532,42.5,130,0,0,0,0,0,0,2
568,297.8,309.7,1935,22.1,171,0,0,0,0,0,0,1
243,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,1
5839,301.4,311.2,1541,36.3,28,0,0,0,0,0,0,2
8513,298.2,309.5,1478,36.5,182,0,0,0,0,0,0,2
3517,302.0,311.0,1550,35.2,184,0,0,0,0,0,0,1
796,296.9,307.9,2010,18.9,86,0,0,0,0,0,0,2
8575,297.6,308.3,1648,29.1,134,0,0,0,0,0,0,2
8365,298.8,309.8,1551,36.6,15,0,0,0,0,0,0,2
5197,303.8,312.9,1570,35.8,147,0,0,0,0,0,0,3
358,297.6,308.3,1467,36.7,68,0,0,0,0,0,0,2
4617,303.1,311.4,1831,23.3,161,0,0,0,0,0,0,2
823,296.6,307.5,1482,39.9,153,0,0,0,0,0,0,2
3690,302.1,311.3,1477,43.6,196,0,0,0,0,0,0,1
4141,301.7,310.1,1462,38.3,49,0,0,0,0,0,0,3
4677,303.5,311.6,1466,47.0,80,0,0,0,0,0,0,3
2603,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,2
3446,301.6,310.6,1400,49.5,211,0,0,0,0,0,0,3
5749,302.2,311.8,1330,62.4,31,0,0,0,0,0,0,3
8839,297.4,308.9,1376,39.0,181,0,0,0,0,0,0,2
9268,298.2,308.8,1666,31.5,30,0,0,0,0,0,0,1
3894,302.3,311.2,1432,42.7,68,0,0,0,0,0,0,2
7905,300.8,312.4,1465,43.7,139,0,0,0,0,0,0,2
8688,297.1,308.5,1483,46.9,203,0,0,0,0,0,0,1
1732,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,3
5707,302.4,311.8,1448,43.4,141,0,0,0,0,0,0,1
3938,302.5,311.5,1603,32.4,194,0,0,0,0,0,0,1
5159,304.2,313.4,1490,44.0,41,0,0,0,0,0,0,1
393,297.5,308.4,1350,52.2,157,0,0,0,0,0,0,2
6647,301.5,310.5,1927,22.4,149,0,0,0,0,0,0,1
5790,301.7,311.2,1563,34.5,139,0,0,0,0,0,0,2
8916,297.1,308.2,2267,15.7,181,0,0,0,0,0,0,1
5821,301.3,311.1,1303,49.2,212,0,0,0,0,0,0,1
1169,297.0,308.1,1355,43.7,217,0,0,0,0,0,0,1
9993,298.8,308.4,1401,47.3,10,0,0,0,0,0,0,1
3030,300.4,309.6,1563,34.0,6,0,0,0,0,0,0,2
7844,300.1,311.7,1503,42.6,208,0,0,0,0,0,0,1
4039,301.9,310.8,1567,39.3,9,0,0,0,0,0,0,1
1278,298.2,309.4,1398,52.9,79,0,0,0,0,0,0,1
1301,298.7,309.9,1483,32.8,142,0,0,0,0,0,0,1
8088,300.1,311.4,1356,45.7,149,0,0,0,0,0,0,1
6902,301.0,311.6,1461,40.6,154,0,0,0,0,0,0,1
9663,299.1,310.1,1435,48.8,229,1,0,0,0,1,0,1
2511,299.0,308.9,1526,41.1,20,0,0,0,0,0,0,2
8414,298.6,309.8,1842,20.1,142,0,0,0,0,0,0,1
6194,300.9,310.8,1571,39.9,51,0,0,0,0,0,0,1
2177,299.6,309.2,1393,47.7,28,0,0,0,0,0,0,2
8603,297.3,308.0,1384,49.1,206,0,0,0,0,0,0,3
2594,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,1
3141,300.5,310.0,1521,45.1,86,0,0,0,0,0,0,1
3160,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,2
1127,296.7,307.8,1672,32.4,113,0,0,0,0,0,0,2
2103,299.3,309.1,1376,46.7,49,0,0,0,0,0,0,2
3769,302.2,311.0,1436,47.0,187,0,0,0,0,0,0,2
7416,300.1,311.2,1452,42.4,190,0,0,0,0,0,0,2
7716,300.5,311.5,1378,48.2,82,0,0,0,0,0,0,2
6497,300.8,309.9,1312,65.3,192,1,0,0,0,1,0,1
2714,299.6,309.1,1366,55.2,95,0,0,0,0,0,0,2
2084,299.5,309.3,1442,46.2,5,0,0,0,0,0,0,1
8367,298.9,309.8,1390,49.9,21,0,0,0,0,0,0,1
2826,300.3,309.4,1612,33.1,150,0,0,0,0,0,0,2
8695,297.2,308.6,1498,44.4,9,0,0,0,0,0,0,2
1849,297.7,307.2,1668,32.7,31,0,0,0,0,0,0,1
9447,298.1,308.9,1323,51.7,88,0,0,0,0,0,0,2
5508,302.9,312.2,1367,55.1,50,0,0,0,0,0,0,1
9243,298.3,308.8,1454,49.0,166,0,0,0,0,0,0,1
7547,300.1,311.4,1430,40.9,93,0,0,0,0,0,0,1
5242,303.7,313.1,1496,47.4,48,0,0,0,0,0,0,1
4274,302.4,310.6,1445,40.3,162,0,0,0,0,0,0,1
7660,300.5,311.6,1246,52.9,165,0,0,0,0,0,0,2
7996,301.0,312.2,1499,41.5,140,0,0,0,0,0,0,2
4270,302.6,310.9,1331,52.0,154,1,0,1,0,0,0,1
5067,304.2,313.2,1396,50.5,11,0,0,0,0,0,0,2
8500,298.3,309.5,1711,30.3,148,0,0,0,0,0,0,1
4874,303.8,312.5,1619,30.9,142,0,0,0,0,0,0,1
2978,300.5,309.4,1642,36.2,103,0,0,0,0,0,0,3
5588,302.5,311.8,1566,37.6,54,0,0,0,0,0,0,2
4227,302.2,310.8,1383,46.9,45,0,0,0,0,0,0,1
9189,297.9,309.1,1595,32.0,32,0,0,0,0,0,0,1
2862,300.6,309.5,1867,23.0,242,0,0,0,0,0,0,1
1675,298.0,307.7,1407,43.9,205,0,0,0,0,0,0,1
1682,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,3
3068,300.0,309.0,1622,31.8,103,0,0,0,0,0,0,3
6094,300.9,310.8,1402,48.1,22,0,0,0,0,0,0,2
5818,301.3,311.0,1539,36.9,206,0,0,0,0,0,0,1
7153,300.2,310.0,1493,47.3,172,0,0,0,0,0,0,1
1053,296.7,307.7,1597,32.1,114,0,0,0,0,0,0,2
1594,298.0,308.2,1373,51.2,215,0,0,0,0,0,0,2
919,295.4,305.8,1407,50.7,192,0,0,0,0,0,0,1
3695,302.2,311.3,1530,37.3,207,1,1,0,0,0,0,1
8060,300.2,311.5,1426,44.3,73,0,0,0,0,0,0,3
323,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,1
3975,302.4,311.5,1540,43.7,81,0,0,0,0,0,0,3
176,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1
712,297.5,308.7,1453,37.6,112,0,0,0,0,0,0,1
5734,302.3,311.8,1369,56.2,208,1,0,0,0,1,0,1
6653,301.4,310.3,1610,29.1,166,0,0,0,0,0,0,2
649,297.7,309.2,1732,28.8,152,0,0,0,0,0,0,2
8079,300.2,311.5,1528,36.1,125,0,0,0,0,0,0,1
9116,297.6,308.7,1659,32.1,49,0,0,0,0,0,0,3
3394,301.5,310.6,1405,42.3,83,0,0,0,0,0,0,1
4045,301.8,310.9,1881,20.9,23,0,0,0,0,0,0,2
8166,299.7,311.1,1603,31.4,141,0,0,0,0,0,0,1
1986,298.1,307.6,1498,42.9,171,0,0,0,0,0,0,1
4564,302.8,310.8,1516,39.5,23,0,0,0,0,0,0,1
6811,300.9,310.6,1504,46.4,129,0,0,0,0,0,0,1
73,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1
2060,299.6,309.5,1803,27.7,159,0,0,0,0,0,0,1
3398,301.4,310.7,1675,30.7,92,0,0,0,0,0,0,1
6597,301.5,310.6,1481,46.8,20,0,0,0,0,0,0,1
8807,297.4,308.6,1604,32.8,85,0,0,0,0,0,0,2
5071,304.2,313.0,1442,40.9,23,0,0,0,0,0,0,3
5573,302.5,312.2,1738,25.3,14,0,0,0,0,0,0,1
8139,299.5,310.8,1571,38.2,74,0,0,0,0,0,0,1
2026,298.7,308.5,1360,52.9,69,0,0,0,0,0,0,2
5969,300.4,310.8,1491,35.9,148,0,0,0,0,0,0,2
1796,298.1,307.6,1542,37.1,84,0,0,0,0,0,0,3
1710,298.2,307.8,1530,35.9,68,0,0,0,0,0,0,1
5506,302.9,312.2,1677,30.5,46,0,0,0,0,0,0,1
3017,300.5,309.8,1305,51.7,202,0,0,0,0,0,0,1
3911,302.3,311.3,1339,50.8,123,0,0,0,0,0,0,2
3001,300.5,309.8,1445,43.9,164,0,0,0,0,0,0,1
6385,300.1,309.7,1410,48.3,118,0,0,0,0,0,0,1
6161,301.0,310.9,1479,44.3,194,0,0,0,0,0,0,1
6832,301.1,311.1,1384,42.5,185,0,0,0,0,0,0,2
7802,299.9,311.3,1429,58.2,103,0,0,0,0,0,0,1
1843,297.6,307.1,1496,39.2,12,0,0,0,0,0,0,1
25,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1
1932,298.1,308.0,1686,29.3,35,0,0,0,0,0,0,2
7333,299.9,310.4,1367,53.3,201,0,0,0,0,0,0,2
254,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,1
8198,299.3,310.7,1374,48.9,222,0,0,0,0,0,0,2
9364,297.9,308.5,1683,28.5,63,0,0,0,0,0,0,1
8389,298.8,309.9,1525,39.7,77,0,0,0,0,0,0,1
5921,300.5,310.3,1336,57.1,29,0,0,0,0,0,0,1
2987,300.6,309.8,1659,28.9,127,0,0,0,0,0,0,2
146,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,3
2072,299.6,309.5,1570,35.5,189,0,0,0,0,0,1,1
7084,300.6,310.3,1794,24.4,211,0,0,0,0,0,0,1
4055,302.0,311.0,1865,22.7,48,0,0,0,0,0,0,1
6598,301.5,310.7,1424,51.1,22,0,0,0,0,0,0,1
9488,298.9,309.6,1567,34.5,204,0,0,0,0,0,0,2
8135,299.6,311.0,1554,36.3,62,0,0,0,0,0,0,1
3076,300.0,309.2,1444,43.6,123,0,0,0,0,0,0,1
5659,302.3,311.5,1674,30.0,12,0,0,0,0,0,0,2
4842,303.3,311.8,1489,49.4,64,0,0,0,0,0,0,2
6196,300.9,310.8,1701,30.4,55,0,0,0,0,0,0,1
1205,296.8,308.0,1371,54.5,86,0,0,0,0,0,0,1
5504,302.8,312.2,1458,51.0,42,0,0,0,0,0,0,1
4037,302.0,310.8,1609,35.2,4,0,0,0,0,0,0,2
4095,302.0,310.5,1459,43.2,148,0,0,0,0,0,0,3
5116,304.2,313.8,1401,53.9,142,0,0,0,0,0,0,1
5740,302.3,311.7,1535,38.3,5,0,0,0,0,0,0,2
7515,300.4,311.9,1335,58.3,9,0,0,0,0,0,0,2
6466,300.4,309.7,1740,31.1,113,0,0,0,0,0,0,1
9390,297.5,308.0,1560,39.0,141,0,0,0,0,0,0,2
8319,298.7,309.7,1393,45.7,99,0,0,0,0,0,0,1
5196,303.9,313.0,1517,36.0,142,0,0,0,0,0,0,3
8453,298.6,309.9,1564,37.1,30,0,0,0,0,0,0,1
9620,298.9,310.0,1470,45.9,109,0,0,0,0,0,0,1
6026,300.7,311.0,1403,48.3,70,0,0,0,0,0,0,1
4160,302.0,310.4,1608,33.1,97,0,0,0,0,0,0,2
579,297.8,309.7,1700,31.3,200,0,0,0,0,0,0,2
9379,297.5,308.2,1419,48.5,108,0,0,0,0,0,0,1
2215,299.7,309.2,1468,49.6,132,0,0,0,0,0,0,3
3125,300.1,309.4,1694,27.4,44,0,0,0,0,0,0,1
4919,303.3,312.2,1506,40.0,50,0,0,0,0,0,0,1
3813,302.0,310.6,1467,44.9,86,0,0,0,0,0,0,1
9970,298.4,308.1,1891,24.7,158,0,0,0,0,0,0,3
4241,302.4,311.0,1475,47.9,79,0,0,0,0,0,0,1
7453,300.3,311.7,1432,47.7,61,0,0,0,0,0,0,3
6373,300.0,309.5,1735,28.9,82,0,0,0,0,0,0,3
7754,300.4,311.7,1478,39.9,185,0,0,0,0,0,0,2
1659,298.1,308.0,1697,31.0,164,0,0,0,0,0,0,1
3678,302.2,311.5,1567,33.1,168,0,0,0,0,0,0,1
334,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,2
2495,299.1,308.8,1491,41.0,209,0,0,0,0,0,0,2
7353,299.8,310.3,1687,30.4,33,0,0,0,0,0,0,1
1343,298.5,310.2,1676,32.7,18,0,0,0,0,0,0,1
9343,298.3,308.8,1391,50.4,13,0,0,0,0,0,0,2
8905,297.3,308.6,1385,55.2,156,0,0,0,0,0,0,1
8852,297.7,308.9,1575,39.9,12,0,0,0,0,0,0,1
9570,299.7,310.9,1384,48.2,188,0,0,0,0,0,0,1
2932,300.9,309.7,1460,42.1,181,0,0,0,0,0,0,1
2533,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,1
2844,300.3,309.2,1650,35.2,196,0,0,0,0,0,0,1
6580,301.3,310.4,1507,39.1,194,0,0,0,0,0,0,1
9879,298.8,309.8,1490,38.6,127,0,0,0,0,0,0,2
7523,300.1,311.5,1343,46.2,28,0,0,0,0,0,0,2
1356,298.6,309.9,1593,37.4,47,0,0,0,0,0,0,1
7739,300.5,311.9,1576,31.1,149,0,0,0,0,0,0,1
7616,300.6,311.4,1468,40.4,55,0,0,0,0,0,0,2
170,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,2
528,297.5,309.5,1553,42.4,60,0,0,0,0,0,0,2
5314,303.6,312.8,1701,30.8,12,0,0,0,0,0,0,1
6787,301.1,310.6,1388,58.5,68,0,0,0,0,0,0,3
3994,302.3,311.4,1434,40.3,133,0,0,0,0,0,0,1
6725,301.5,310.7,1359,47.1,115,0,0,0,0,0,0,2
9631,299.0,310.0,1672,33.2,144,0,0,0,0,0,0,1
2837,300.3,309.1,1699,30.3,178,0,0,0,0,0,0,1
7009,300.5,310.5,1536,36.2,12,0,0,0,0,0,0,1
3826,302.3,310.8,1438,43.8,119,0,0,0,0,0,0,3
7814,300.0,311.4,1927,24.6,132,0,0,0,0,0,0,1
3639,302.4,311.6,1622,35.0,68,0,0,0,0,0,0,1
7666,300.6,311.7,1424,50.8,182,0,0,0,0,0,0,2
5888,301.5,311.1,1507,38.6,149,0,0,0,0,0,0,2
8581,297.5,308.0,1429,45.8,148,0,0,0,0,0,0,2
5892,301.4,311.1,1472,44.5,159,0,0,0,0,0,0,1
8227,299.1,310.4,1524,51.4,66,0,0,0,0,0,0,2
7055,300.8,310.6,1663,30.6,139,0,0,0,0,0,0,1
7272,300.2,310.3,1202,59.5,40,0,0,0,0,0,0,1
8753,297.4,308.6,1657,33.1,156,0,0,0,0,0,0,2
8153,299.6,310.8,1507,42.4,108,0,0,0,0,0,0,1
7346,299.6,310.2,1469,47.0,15,0,0,0,0,0,0,1
2196,299.7,308.9,1551,35.4,82,0,0,0,0,0,0,2
5614,303.0,312.2,1624,28.8,117,0,0,0,0,0,0,3
982,296.2,306.9,1516,39.1,138,0,0,0,0,0,0,1
28,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1
3439,301.4,310.3,1492,41.4,195,0,0,0,0,0,0,1
6050,300.9,311.1,1546,37.7,133,0,0,0,0,0,0,2
4697,303.5,311.6,1573,34.0,134,0,0,0,0,0,0,2
7073,300.7,310.6,1491,43.2,187,0,0,0,0,0,0,1
2606,299.4,309.3,1534,37.5,39,0,0,0,0,0,0,3
6572,301.4,310.7,1428,53.7,176,0,0,0,0,0,0,1
1697,297.9,307.6,1519,44.0,37,0,0,0,0,0,0,2
9483,298.9,309.6,1546,35.3,190,0,0,0,0,0,0,3
5382,302.9,312.4,1698,33.8,202,0,0,0,0,0,0,1
8899,297.3,308.5,1710,27.7,138,0,0,0,0,0,0,2
9779,298.8,309.8,1509,36.2,57,0,0,0,0,0,0,1
3415,301.4,310.4,1579,36.9,133,0,0,0,0,0,0,1
975,296.0,306.6,1628,36.8,121,0,0,0,0,0,0,2
6734,301.6,310.9,1575,40.1,139,0,0,0,0,0,0,2
5395,302.8,312.4,1529,36.8,237,0,0,0,0,0,0,1
6012,300.8,310.9,1425,44.0,33,0,0,0,0,0,0,3
1658,298.1,308.0,1570,35.3,159,0,0,0,0,0,0,3
9223,297.9,309.0,1382,43.9,116,0,0,0,0,0,0,1
458,297.3,308.6,1486,42.6,105,0,0,0,0,0,0,1
1537,298.4,309.1,1467,39.6,78,0,0,0,0,0,0,2
452,297.4,308.6,1643,31.0,89,0,0,0,0,0,0,2
6338,300.4,309.9,1681,28.6,206,0,0,0,0,0,0,1
2512,298.9,308.8,1530,38.3,23,0,0,0,0,0,0,1
2451,299.2,308.7,1650,30.5,93,0,0,0,0,0,0,1
2354,299.3,308.6,1433,37.7,42,0,0,0,0,0,0,1
7764,300.4,311.7,1555,38.7,5,0,0,0,0,0,0,2
4419,302.6,310.2,2676,10.8,84,1,0,0,1,0,0,2
5586,302.4,311.8,1557,31.5,49,0,0,0,0,0,0,2
9955,298.2,307.9,1462,38.8,124,0,0,0,0,0,0,2
2701,299.9,309.2,1333,50.8,61,0,0,0,0,0,0,1
771,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,3
2754,299.6,309.1,1630,32.3,194,0,0,0,0,0,0,3
8056,300.1,311.5,1499,43.4,65,0,0,0,0,0,0,1
8689,297.1,308.4,1543,39.6,205,0,0,0,0,0,0,1
6284,301.2,310.8,1734,31.3,64,0,0,0,0,0,0,2
3291,301.2,310.1,1479,45.5,44,0,0,0,0,0,0,2
5313,303.7,312.9,1566,32.6,9,0,0,0,0,0,0,2
9670,299.0,310.2,1690,30.7,244,0,0,0,0,0,0,1
1763,298.2,307.6,1511,31.0,209,1,1,0,0,0,0,1
8475,298.5,309.7,1557,37.7,86,0,0,0,0,0,0,2
5552,302.5,312.0,1579,35.7,167,0,0,0,0,0,0,3
8129,300.0,311.3,1520,39.2,43,0,0,0,0,0,0,1
7642,300.4,311.4,1604,31.7,119,0,0,0,0,0,0,2
6074,301.0,310.8,1533,39.3,194,0,0,0,0,0,0,2
6182,301.0,310.8,1475,35.3,19,0,0,0,0,0,0,1
2729,299.7,309.3,1417,54.6,131,0,0,0,0,0,0,1
3562,301.7,310.6,1471,43.8,80,0,0,0,0,0,0,1
1789,298.2,307.9,1313,67.3,67,1,0,0,1,0,0,1
5441,303.0,312.6,1392,42.9,94,0,0,0,0,0,0,2
9363,297.9,308.5,1519,34.3,61,0,0,0,0,0,0,1
372,297.4,308.3,1405,51.7,108,0,0,0,0,0,0,2
6428,300.2,309.8,1743,24.1,18,0,0,0,0,0,0,2
5816,301.3,311.0,1582,35.6,202,0,0,0,0,0,0,1
4098,302.0,310.3,1648,29.6,157,0,0,0,0,0,0,1
6872,301.0,311.3,1472,35.3,73,0,0,0,0,0,0,1
253,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,1
475,297.4,309.1,1380,41.1,152,0,0,0,0,0,0,1
3092,300.0,309.3,2293,16.3,170,0,0,0,0,0,0,2
4498,302.6,310.4,1614,36.0,74,0,0,0,0,0,0,3
6996,300.5,310.6,1621,32.0,184,0,0,0,0,0,0,2
9580,299.5,310.7,1423,56.5,7,0,0,0,0,0,0,2
3642,302.3,311.6,1309,57.6,77,0,0,0,0,0,0,1
7426,300.0,311.4,1692,29.0,216,1,1,0,0,0,0,2
1548,298.3,308.8,1349,52.1,104,0,0,0,0,0,0,2
9287,298.2,308.9,1709,28.1,81,0,0,0,0,0,0,1
7571,300.3,311.1,1606,30.9,156,0,0,0,0,0,0,1
1123,296.6,307.7,1386,62.3,100,1,0,0,1,0,0,3
3086,300.0,309.2,1610,32.1,150,0,0,0,0,0,0,1
5958,300.6,310.8,1533,38.5,117,0,0,0,0,0,0,1
7541,300.3,311.5,1528,40.9,76,0,0,0,0,0,0,2
70,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2
7251,300.2,310.3,1448,40.1,209,0,0,0,0,0,0,2
713,297.4,308.6,1439,46.4,114,0,0,0,0,0,0,1
4894,303.8,312.5,1447,46.6,198,0,0,0,0,0,0,3
7291,300.2,310.5,1416,46.7,90,0,0,0,0,0,0,1
3098,299.9,309.2,1389,51.2,185,0,0,0,0,0,0,2
5340,303.5,312.7,1393,49.3,82,0,0,0,0,0,0,1
2251,299.1,308.3,1424,43.4,16,0,0,0,0,0,0,3
3077,300.1,309.3,1841,23.0,125,0,0,0,0,0,0,1
8595,297.5,308.2,1624,30.9,186,0,0,0,0,0,0,2
7604,300.4,311.3,1639,34.6,24,0,0,0,0,0,0,1
4989,303.9,313.2,1499,37.4,7,0,0,0,0,0,0,1
5277,303.5,312.9,1501,44.0,128,0,0,0,0,0,0,1
9807,298.2,309.0,1413,55.0,145,0,0,0,0,0,0,1
514,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,1
2040,299.1,308.9,1686,29.6,108,0,0,0,0,0,0,1
5683,302.2,311.6,1592,37.7,79,0,0,0,0,0,0,2
3737,302.2,311.1,1351,48.6,110,0,0,0,0,0,0,1
295,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,2
8567,298.0,308.7,1511,45.8,114,0,0,0,0,0,0,1
3976,302.3,311.4,1372,46.0,86,0,0,0,0,0,0,3
4380,301.9,309.6,1410,49.0,223,0,0,0,0,0,0,1
4514,302.4,310.3,1479,36.2,115,0,0,0,0,0,0,1
8561,298.2,308.9,1332,44.4,100,0,0,0,0,0,0,1
5670,302.2,311.5,1424,45.2,39,0,0,0,0,0,0,1
9304,298.3,309.1,1537,43.0,123,0,0,0,0,0,0,1
125,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1
9027,297.4,308.3,1444,44.0,18,0,0,0,0,0,0,2
9609,299.0,310.1,1470,40.3,83,0,0,0,0,0,0,1
1870,298.3,308.0,1486,42.3,86,0,0,0,0,0,0,1
7902,300.7,312.3,1430,47.2,131,0,0,0,0,0,0,2
7067,300.8,310.7,1386,42.1,170,0,0,0,0,0,0,2
1112,296.5,307.4,1350,55.6,69,0,0,0,0,0,0,2
2303,299.2,308.5,1374,53.6,143,0,0,0,0,0,0,1
4997,303.6,312.8,2659,11.4,26,1,0,0,1,0,0,2
5701,302.5,311.9,1347,54.3,125,0,0,0,0,0,0,2
9657,299.0,310.0,1484,39.6,212,0,0,0,0,0,0,1
8642,297.5,308.4,1596,36.6,80,0,0,0,0,0,0,2
8741,297.4,308.8,1538,41.2,126,0,0,0,0,0,0,1
6130,301.0,310.9,1473,44.2,116,0,0,0,0,0,0,1
7497,300.3,311.8,1483,45.1,181,0,0,0,0,0,0,2
9691,299.0,310.0,1582,31.9,51,0,0,0,0,0,0,1
4947,303.7,312.7,1395,53.9,123,0,0,0,0,0,0,1
8374,298.8,309.7,1225,63.4,37,0,0,0,0,0,0,1
1474,298.5,309.5,1366,61.9,130,0,0,0,0,0,0,2
7000,300.6,310.6,1463,45.5,196,0,0,0,0,0,0,2
3784,302.2,310.8,1744,29.7,16,0,0,0,0,0,0,1
6063,301.1,311.1,1450,43.3,168,0,0,0,0,0,0,1
1634,297.9,307.9,1406,58.5,93,0,0,0,0,0,0,3
773,296.8,308.0,1510,39.4,29,0,0,0,0,0,0,1
902,295.6,306.1,1383,48.7,147,0,0,0,0,0,0,1
2986,300.6,309.8,1455,48.0,125,0,0,0,0,0,0,1
726,297.4,308.8,1628,37.4,144,0,0,0,0,0,0,2
2236,299.3,308.5,1422,43.1,186,0,0,0,0,0,0,2
7040,300.7,310.6,1720,30.3,96,0,0,0,0,0,0,1
4566,302.8,310.8,1402,50.5,30,0,0,0,0,0,0,1
4860,303.6,312.4,1504,49.5,109,0,0,0,0,0,0,2
1482,298.1,309.1,1448,52.5,150,0,0,0,0,0,0,2
35,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2
6757,301.8,311.2,1822,26.2,204,0,0,0,0,0,0,1
9072,297.2,308.1,1770,27.2,140,0,0,0,0,0,0,3
5613,303.0,312.3,1483,38.8,114,0,0,0,0,0,0,2
5806,301.4,310.9,1440,45.4,177,0,0,0,0,0,0,1
7359,299.4,310.0,1512,43.2,47,0,0,0,0,0,0,2
1421,298.7,309.8,1589,31.8,217,0,0,0,0,0,0,1
1227,297.1,308.4,1422,42.1,148,0,0,0,0,0,0,1
9505,299.2,310.3,1429,40.1,23,0,0,0,0,0,0,1
4795,303.6,312.5,1431,49.0,162,0,0,0,0,0,0,1
7861,300.5,312.0,1498,42.9,25,0,0,0,0,0,0,1
9539,299.4,310.8,1424,47.7,109,0,0,0,0,0,0,1
609,298.1,309.9,1629,32.5,45,0,0,0,0,0,0,1
3419,301.5,310.5,1611,33.8,144,0,0,0,0,0,0,1
5560,302.4,311.9,1541,37.9,192,0,0,0,0,0,0,1
5950,300.7,310.8,1689,28.9,100,0,0,0,0,0,0,1
6748,301.7,311.0,2016,19.3,180,0,0,0,0,0,0,3
7059,300.6,310.5,1644,33.8,148,0,0,0,0,0,0,1
9858,298.5,309.5,1547,33.1,68,0,0,0,0,0,0,1
6766,301.4,311.0,1427,43.2,13,0,0,0,0,0,0,2
6854,301.0,311.2,1511,42.9,26,0,0,0,0,0,0,1
8823,297.3,308.8,1447,57.4,134,0,0,0,0,0,0,2
6693,301.8,311.0,1756,26.7,33,0,0,0,0,0,0,2
9397,297.7,308.2,1370,53.4,162,0,0,0,0,0,0,2
2458,299.0,308.6,1434,45.9,108,0,0,0,0,0,0,1
8787,297.5,308.5,1699,30.1,40,0,0,0,0,0,0,2
